series_name,network,season,title,imdb,engagement,date_aired,year,run_time,format,monster_name,monster_gender,monster_type,monster_subtype,monster_species,monster_real,monster_amount,caught_fred,caught_daphnie,caught_velma,caught_shaggy,caught_scooby,captured_fred,captured_daphnie,captured_velma,captured_shaggy,captured_scooby,unmask_fred,unmask_daphnie,unmask_velma,unmask_shaggy,unmask_scooby,snack_fred,snack_daphnie,snack_velma,snack_shaggy,snack_scooby,unmask_other,caught_other,caught_not,trap_work_first,setting_terrain,setting_country_state,suspects_amount,non_suspect,arrested,culprit_name,culprit_gender,culprit_amount,motive,if_it_wasnt_for,and_that,door_gag,number_of_snacks,split_up,another_mystery,set_a_trap,jeepers,jinkies,my_glasses,just_about_wrapped_up,zoinks,groovy,scooby_doo_where_are_you,rooby_rooby_roo,batman,scooby_dum,scrappy_doo,hex_girls,blue_falcon,fred_va,daphnie_va,velma_va,shaggy_va,scooby_va
The New Scooby-Doo Movies,CBS,1,The Dynamic Scooby-Doo Affair,7.8,232,9/16/72,1972,41,TV Series,"Hooded Man,Skeletons","Male,Male","Disguised,Skeleton","Hooded,Humaniod","Human,Human",FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,Rural,United States,1,FALSE,TRUE,Mrs. Baker,Female,1,Counterfeit,that dumb dog,,FALSE,3,0,0,0,0,0,1,0,3,0,3,3,TRUE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
The New Scooby-Doo Movies,CBS,1,Wednesday Is Missing,7.9,119,9/23/72,1972,41,TV Series,The Vulture,Female,Animal,Bird,Vulture,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,Forest,United States,2,FALSE,FALSE,House Keeping Couple,"Male,Female",2,Safety,,,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
The New Scooby-Doo Movies,CBS,1,The Frickert Fracas,7.9,116,9/30/72,1972,43,TV Series,Scarecrow,Male,Possessed Object,Scarecrow,Human,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Rural,United States,4,FALSE,TRUE,Simon Shakey,Male,1,Treasure,,,TRUE,0,0,0,0,1,1,0,0,9,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
The New Scooby-Doo Movies,CBS,1,Guess Who's Knott Coming to Dinner?,7.9,111,10/7/72,1972,43,TV Series,"Ghost of Captain Moody,Ghost of Captain Moody","Male,Male","Ghost,Ghost","Phantom,Phantom","Human,Human",FALSE,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Forest,United States,1,TRUE,TRUE,"Captain Moody's Nephews,Captain Moody's Nephews","Male,Male",2,Inheritance,,,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
The New Scooby-Doo Movies,CBS,1,A Good Medium Is Rare,7.7,88,10/14/72,1972,41,TV Series,"The Gargoyle,Phantoms,Phantoms","Male,Male,Male","Possessed Object,Ghost,Ghost","Statue,Phantom,Phantom","Gargoyle,Human,Human",FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,Forest,United States,4,FALSE,TRUE,Alberto,Male,1,Theft,,,FALSE,0,0,0,0,0,1,0,0,1,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
The New Scooby-Doo Movies,CBS,1,Sandy Duncan's Jekyll and Hyde,7.8,90,10/21/72,1972,41,TV Series,"Ghost,Sheik,Mummy,Pirate,Dragon,Wolfman,Grizzly Bear,Indian,Mr. Hyde","Male,Male,Male,Male,Male,Male,Male,Male,Male","Ghost,Disguised,Undead,Disguised,Animal,Animal,Animal,Ancient,Disguised","Phantom,Sheik,Mummy,Pirate,Dragon,Humanoid,Bear,Indian,Split-Personality","Human,Human,Human,Human,Dragon,Human,Bear,Human,Human",FALSE,9,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,United States,4,TRUE,FALSE,Zalia Z. Fairchild,Male,1,Preservation,,,FALSE,0,0,0,0,0,1,0,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
The New Scooby-Doo Movies,CBS,1,The Secret of Shark Island,8.5,109,10/28/72,1972,41,TV Series,"Shark Men,Shark Men","Male,Male","Animal,Animal","Sea-Monster,Sea-Monster","Shark,Shark",FALSE,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Island,United States,2,FALSE,TRUE,Milo Meekly,Male,1,Treasure,,,FALSE,0,0,0,0,0,0,0,0,1,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
The New Scooby-Doo Movies,CBS,1,The Spooky Fog of Juneberry,7.7,96,11/4/72,1972,43,TV Series,"Skeleton Man,Lady Ghost,3-Eyed Spook,Giant,Brontosaurus,Headless Horsemen of Sleepy Hollow,Skeleton Stage Driver","Male,Female,Male,Male,Male,Male,Male","Undead,Ghost,Ghost,Ghost,Ancient,Ghost,Ghost","Skeleton,Phantom,Phantom,Phantom,Brontosaurus,Headless,Phantom","Human,Human,Human,Human,Dinosaur,Human,Human",FALSE,7,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Desert,United States,2,FALSE,TRUE,Gene Haultrey,Male,1,Theft,you people,,FALSE,3,1,0,0,0,1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
The New Scooby-Doo Movies,CBS,1,The Ghost of Bigfoot,8.3,118,11/11/72,1972,43,TV Series,The Ghost of Bigfoot,Male,Ghost,Half-Human,Big Foot,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Snow,Vermont,4,FALSE,TRUE,Jonathan Crabtree,Male,1,Theft,,,TRUE,0,0,0,0,0,1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
The New Scooby-Doo Movies,CBS,1,The Ghost of the Red Baron,7.6,86,11/18/72,1972,43,TV Series,Ghost of the Red Baron,Male,Ghost,Pilot,Human,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Rural,United States,3,FALSE,TRUE,Mr. Siegfried,Male,1,Competition,,,FALSE,0,0,0,0,0,0,0,0,1,0,0,3,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
